target,prime
above,BELOW
actor,ACTRESS
again,REPEAT
alligator,CROCODILE
amount,QUANTITY
answer,EXPLANATION
area,REGION
art,SCULPTURE
attack,ASSAULT
away,FURTHER
ball,BOWLING
basket,WICKER
beard,MUSTACHE
beg,PLEAD
belt,SASH
bird,WINGS
blow,WHISTLE
booze,WHISKEY
boyfriend,GIRLFRIEND
breakfast,CEREAL
bubble,BURST
business,CORPORATION
calculate,COMPUTE
can't,INABILITY
carry,HAUL
cell,SICKLE
characteristic,TRAIT
child,KID
cigarette,NICOTINE
cliff,LEDGE
cloudy,SUNNY
collar,LAPEL
company,AGENCY
congress,SENATE
corn,FLAKE
crab,LOBSTER
crime,RAPE
curtains,DRAPES
dangerous,HARMFUL
decay,DETERIORATE
dependent,INDEPENDENT
die,SUFFOCATE
dirty,CLEAN
dive,SCUBA
done,FINISHED
dress,FORMAL
dry,WET
earthquake,DISASTER
electricity,ENERGY
encourage,DISCOURAGE
environment,SURROUNDINGS
exhale,INHALE
eyes,EYEBROWS
false,UNTRUE
feel,TOUCH
film,MOVIE
five,FOUR
flowers,BOUQUET
for,AGAINST
found,LOST
fries,FRENCH
funny,CLOWN
gather,ACCUMULATE
girlfriend,BOYFRIEND
god,DEMI
grandma,GRANDPA
groceries,LIST
guitar,BANJO
hand,FINGER
headache,ASPIRIN
help,BENEFIT
hip,WAIST
honest,TRUTHFUL
hotel,SUITE
hunter,BOUNTY
ignore,DISREGARD
inferior,SUPERIOR
it,DAMN
jewish,RABBI
juvenile,DELINQUENT
king,THRONE
lace,FRILL
later,NOW
leather,SUEDE
length,WIDTH
lie,SLANDER
load,UNLOAD
loser,WINNER
lunch,NOON
male,FEMALE
massage,RUB
meet,INTRODUCE
minimum,MAXIMUM
mob,GANGSTER
more,EXTRA
mouth,JAW
mustache,BEARD
necklace,BEAD
new,OLD
normal,STANDARD
nurse,UNIFORM
office,POST
opening,CLOSING
own,HAVE
pants,SLACKS
path,TRAIL
penny,COPPER
phone,DIAL
pilot,NAVIGATOR
plastic,TUPPERWARE
poison,DEADLY
potato,CHIP
priest,MONK
proof,EVIDENCE
purpose,INTENT
quick,SPONTANEOUS
reaction,CHEMICAL
referee,OFFICIAL
reptile,LIZARD
rights,CONSTITUTION
room,CHAMBER
rule,POLICY
same,OPPOSITE
say,TELL
sea,OCEAN
self,ESTEEM
sexy,LINGERIE
sheep,LAMB
shoot,GUN
sick,ILLNESS
sit,LAP
slide,GLIDE
smile,FROWN
society,CULTURE
sorry,REGRET
specific,DETAIL
spoon,FORK
stage,PHASE
states,UNITED
sting,BEE
strange,WEIRD
stripe,PLAID
success,FAILURE
supper,DINNER
sympathy,APATHY
tan,SUN
teacher,STUDENT
ten,NINE
there,HERE
three,TWO
tile,FLOOR
tomato,LETTUCE
town,VILLAGE
trick,MAGIC
turn,TWIST
unemployment,JOBLESS
values,MORALS
virgin,MARY
wall,PLASTER
way,MANNER
weird,FREAK
whine,COMPLAIN
win,TRIUMPH
wonder,AMAZE
worst,BEST
yes,NO
abnormal,EGYPT
active,DISPERSE
after,CELCIUS
all,AMAZE
american,COBBLER
annually,MOST
april,TUTU
arrow,BEARD
atom,TREE
aware,PLAYTHING
bake,STATION
basic,REMAIN
bear,PRIMATE
before,TUNE
below,TICKET
biology,FEAR
blood,CLEAN
boots,LOSS
boy,KNAPSACK
break,YEARLY
brush,MUSK
bush,ENTRANCE
cake,BEST
cans,COD
carrot,PICK
cave,TOMB
chaos,BUBBLE
chief,SWEET
church,BOW
clear,CATCHER
clothes,EXTRAVAGANT
cold,DEGREE
compact,DIPLOMA
confusion,FLUFFY
coral,SNOB
cowboy,GROCERY
creator,MOP
cure,VENUS
danger,ORIGINATE
death,HALT
dependable,COMMUNITY
dictionary,FORK
dirt,PRIME
ditch,RASH
dolphin,MUSTACHE
dream,TOPIC
drunk,DIMINISH
earth,PIECES
electric,CANYON
empty,APPRAISE
enter,CONTROL
exercise,APPLE
eye,ARCHITECT
fall,LITTER
fear,LEADER
fighter,TOOTHPASTE
fist,FUGITIVE
flower,PADDY
football,CONDITIONER
forward,LIVER
friend,FAST
fungus,TEAR
gas,LUNCH
girl,UNDERWEAR
goal,AWARENESS
grand,HAVE
grill,TENDENCY
guilty,SALE
hand,WICKER
headache,OUNCE
help,CONTRACTOR
