target,prime
account,CHECKING
addition,SUBTRACTION
agreement,CONTRACT
alright,OKAY
anger,FURY
apart,TOGETHER
arm,SHOULDER
asia,EUROPE
aunt,RELATIVE
back,RETREAT
band,RUBBER
bat,BALL
beautiful,GORGEOUS
beginning,ENDING
better,WORSE
bite,BIT
board,BULLETIN
borrow,LEND
bracelet,CHARM
bride,GROOM
bug,CRICKET
butterfly,COCOON
camera,TOURIST
card,CREDIT
castle,MOAT
ceremony,RITUAL
check,MARK
chip,DIP
city,COUNTY
clipper,TOENAIL
clue,HINT
color,HUE
conceited,VAIN
continent,AFRICA
cough,SNEEZE
crackle,SNAP
crops,HARVEST
dad,MUMMY
data,INFORMATION
deep,SHALLOW
desk,OFFICE
dime,QUARTER
disappear,REAPPEAR
doctor,MEDICAL
door,KNOCK
drive,STEER
dumb,SMART
eat,FEED
eleven,TEN
enemy,ADVERSARY
evidence,PROOF
experiment,LAB
fail,PASS
far,DISTANCE
female,SEX
finish,ACCOMPLISH
flakes,FROSTED
fog,MIST
foresight,HINDSIGHT
fragile,DELICATE
frog,TOAD
gain,LOSS
geometry,ANGLE
glass,WINDOW
goo,SLIMY
grasp,HOLD
group,GANG
habit,TENDENCY
hard,ERECT
hear,LISTEN
here,THERE
hog,PIG
hoop,HULA
house,DOLL
hurt,OUCH
immature,CHILDISH
insane,CRAZY
item,PRODUCT
join,PARTICIPATE
ketchup,FRIES
klutz,CLUMSY
lake,POND
lawn,MOW
ledge,BALCONY
let,ALLOW
lightning,THUNDER
log,CABIN
lots,ABUNDANCE
magazine,ISSUE
manners,ETIQUETTE
maybe,MIGHT
messy,SLOB
minute,HOUR
mom,DAD
motel,HOTEL
movie,PRODUCTION
name,INITIAL
negative,POSITIVE
newton,FIG
note,MESSAGE
obsession,COMPULSION
okay,ARIGHT
order,LAW
oyster,CLAM
park,SWING
pavement,ASPHALT
pepsi,COKE
picket,FENCE
place,POSITION
plead,BEG
polish,FINGERNAIL
precise,EXACT
print,WRITE
protection,SHIELD
puzzle,PIECES
race,DRAG
real,FAKE
relationship,MEANINGFUL
rhyme,POEM
river,STREAM
roses,FLOWERS
run,JOG
sandwich,SUB
scary,DANGER
second,MINUTE
senate,CONGRESS
shame,DISGRACE
shine,POLISH
short,TALL
silk,SATIN
ski,SLOPE
slow,FAST
smudge,SMEAR
soft,FLUFFY
sour,SWEET
spice,OREGANO
spot,STAIN
stairs,STEPS
steak,MEAT
stop,HALT
strawberry,SHORTCAKE
study,HOMEWORK
summary,SYNOPSIS
swamp,MARSH
table,CHAIR
tart,TANGY
tears,CRY
tent,CAMPING
thing,ITEM
thunder,LIGHTNING
tired,WARY
tool,PLIERS
trailer,TRACTOR
trouble,MISCHIEF
two,PAIR
unusual,USUAL
vegetable,RADISH
volcano,LAVA
war,TANK
weather,CLIMATE
wet,MOIST
whole,HALF
wine,COOLER
words,THESAURUS
writer,POET
yours,MINE
accept,JOCK
add,PARADISE
age,RIP
alone,MIDDLE
angel,HIKE
anxiety,WASHCLOTH
argument,REFRESHING
ashtray,BLEND
attic,LINGERIE
baby,WHERE
balloon,DEFEND
bass,CARDS
beat,CURVE
beginner,CONVENT
best,CAPTION
bitch,COOLER
blush,ERECT
boring,SHAKE
bra,SICKLE
brick,SCHOOL
buffalo,MORALS
butter,HISPANIC
calm,CRY
car,GENERAL
cash,POSITION
cereal,OFFICIAL
cheat,OPENER
china,CHAIN
circus,SHRINE
climb,ASTRONAUT
club,DEVIL
cologne,ORIGINAL
con,LEAK
construction,DETERMINE
couch,QUEST
cracker,SEASHORE
crooked,PRECIOUS
cute,SLING
dark,POND
decision,CREDIT
desert,HARMFUL
dill,CANE
disagreement,DISC
do,BINDER
don't,DONKEY
drip,ENERGY
dull,BEGINNER
easy,VAST
elevator,PATIO
ending,BORROW
even,KNEES
expensive,MONK
fad,FRIENDS
fantasy,ACCOMPLISHED
feet,GANG
finger,ARTERY
flag,SOOTHE
fly,WELCOME
foreign,FIBER
fox,DIG
frightened,BAGGAGE
future,BOUNTY
general,SALOON
give,DRIP
gone,MAN
graph,LEGAL
ground,ALTO
habit,SINGER
hard,TONE
hear,SQUEAK
here,SHIFT
hog,WORSE
hoop,SALIVA
house,FAIL
hurt,MESSAGE
immature,SURVEY
insane,DEEP
item,PLEAD
join,DESIRE
key,ACTRESS
knee,POTTERY
lamb,CORPORATION
lawyer,MARCH
leg,EXHALE
letters,PHASE
line,APPEARANCE
long,WAIT
love,GROWN
maid,SECURE
map,DELINQUENT
me,BEAUTY
middle,SUMMER
mist,ENTERTAIN
monk,OPPOSITE
motion,STEP
multiply,RETREAT
nature,GOVERNMENT
nephew,THINKING
night,DOORBELL
novel,COOKBOOK
ocean,DEPENDENT
on,CHRIST
orgasm,RAPE
pain,RUBBER
partner,RUSH
peach,REACTION
perfume,LIZARD
picture,PRESENT
plan,MOIST
plug,PROSE
politics,JAPAN
present,CHAMBER
prisoner,RAKE
pudding,BILLBOARD
quack,DAUGHTER
rain,BEAVER
recipe,HIKER
relax,INTENT
rice,WHO
robbery,OBSTACLE
rotten,TEMPLE
sad,SOCKS
satin,ABSURD
school,OBLIGATION
secretary,WORTHLESS
separate,STRATEGY
shape,CAVERN
shirt,HUMAN
shove,KLEENEX
similar,ELECTRICIAN
skin,FAN
sly,EYEBALL
snake,MOAT
son,EYEBROWS
space,FIGHTER
spill,MAFIA
spring,COMPASS
star,CHARCOAL
stick,SPOT
storm,SUGGESTION
strength,CUT
subject,WAR
sunday,DISCIPLINE
sweet,MANUFACTURER
take,ATLAS
tax,PARK
television,LAY
thanks,COKE
thirsty,SLEEP
tie,SONG
toast,ESCARGOT
top,ALLERGY
trash,PANEL
try,MISCHIEF
unclear,PLAIN
usa,RECLINER
verb,FRILL
wait,FLEXIBLE
