target,prime
abandon,DISOWN
act,PERFORM
advice,SUGGEST
alert,AWARENESS
ambulance,EMERGENCY
annoy,FRUSTRATE
appear,SEEM
around,SURROUNDING
assistant,HELPER
awake,ASLEEP
bad,VILLAIN
base,FOUNDATION
beam,LASER
beef,ROAST
believe,DISBELIEVE
bike,PEDAL
bleach,CLOROX
bone,HIP
box,CARTON
bravery,VALOR
brother,SISTER
bum,HOBO
cabinet,FILE
candle,WICK
caring,LOVING
cause,EFFECT
chance,OPPORTUNITY
chew,GUM
christ,JESUS
clean,SHOWER
closing,OPENING
coffee,CAFFEINE
communism,FASCISM
conference,MEETING
cop,POLICEMAN
cover,LID
crazy,NUTS
cuddle,SNUGGLE
dance,BALLET
dead,CORPSE
definition,MEANING
diamond,JEWEL
direction,COMPASS
dish,CHINA
dollar,BUCK
drain,CLOG
drug,HEROINE
ear,LOBE
eight,FIGURE
empire,ROMAN
enlarge,MAGNIFY
excited,OVERWHELM
extinct,DINOSAUR
faith,BELIEVE
fat,SKINNY
field,MEADOW
fish,COD
flop,FLIP
food,PROVISION
fork,KNIFE
fraternity,GREEK
full,CAPACITY
garbage,DUMP
gift,PRESENT
glue,PASTE
grab,TAG
greed,SELFISH
guess,HYPOTHESIS
hallway,PASSAGE
have,MUST
heavy,LOAD
highway,FREEWAY
home,WELCOME
hospital,GENERAL
hundred,PERCENT
id,EGO
independent,DEPENDENT
irregular,REGULAR
jeans,POCKET
juice,PRUNE
kill,SLAY
knit,CROCHET
large,VAST
leader,CHAIRPERSON
legs,KNEES
liar,TRAITOR
listen,HEAR
looks,APPEARANCE
low,HIGH
major,MINOR
market,STOCK
meaning,DEFINITION
milk,DAIRY
misunderstand,CONFUSE
monster,FRANKENSTEIN
mountain,HILL
murderer,KILLER
near,FAR
neuron,AXON
noise,SOUND
now,HAPPENING
odd,EVEN
one,NUMBER
outdoors,INDOORS
painting,CANVASS
party,CELEBRATION
peanut,BRITTLE
person,CITIZEN
piece,CHUNK
planet,VENUS
poem,SONNET
poor,GHETTO
pretty,BEAUTIFUL
problem,SOLUTION
pull,LEVER
queen,KING
rat,MICE
red,APPLE
remember,REMINISCENCE
ride,BIKE
rocket,LAUNCH
round,CYLINDER
salad,DRESSING
saucer,CUP
scientist,CHEMIST
security,CONFIDENCE
seven,SIX
sharp,RAZOR
shoe,SOCK
show,DISPLAY
sing,SONG
sky,CLOUD
smart,WIT
snob,SNOTTY
soprano,ALTO
span,ATTENTION
spine,BACKBONE
squirrel,CHIPMUNK
stare,GLARE
sticky,HAIRSPRAY
story,LEGEND
stress,TENSION
submarine,PERISCOPE
sunset,SUNRISE
swing,HAMMOCK
talk,COMMENT
taxi,CAB
tell,SHOW
thaw,DEFROST
thought,PHILOSOPHY
tiger,LION
toe,STUB
tornado,CYCLONE
treat,TRICK
tuesday,MONDAY
uncommon,COMMON
vacation,TRIP
view,SCENERY
waiter,SERVER
washington,GEORGE
wednesday,TUESDAY
wheelchair,HANDICAP
wild,TAME
wolf,COYOTE
world,GLOBE
year,CENTURY
zoo,KEEPER
achieve,GIRL
adventure,WARY
alcohol,PEPPERONI
am,FREEWAY
ankle,SHOULDER
apology,WITCH
army,CAUTION
ass,CLOG
average,MARS
bacon,APPLIANCE
bargain,COBWEB
beach,MEETING
bee,COMPETITION
belief,RIGID
big,PASTA
blanket,INJECTION
bomb,SHATTER
bow,CHANCE
brave,UNTRUE
broken,ACCUMULATE
building,SCAPEGOAT
cabin,DEATH
cancer,MONSTER
careful,DEMOCRAT
cats,ROAST
chalk,PITCHFORK
chest,LINT
choose,HALF
clay,CAMERA
closed,GENE
code,TAN
comment,WITH
condom,HIGHLIGHT
cool,FEED
court,REMOVE
crayon,POST
cry,PRANK
dam,ANTIDOTE
days,HOSTESS
defense,MOTION
devil,HILL
direct,REINDEER
disgusting,ANTLERS
doll,HOE
down,FLAT
drop,CURSIVE
duty,GONE
egypt,SHOVE
emotion,GATE
english,BRUNETTE
example,ASSAULT
explosion,TRANCE
fair,DUCKS
fast,WIN
fiction,FLOWER
first,STALE
floor,CYLINDER
follower,FINGER
forgive,DAWN
frankenstein,CHOICE
fudge,HOUR
gander,SEEM
ghost,DARING
gloves,LIBEL
government,NEWS
great,TACK
guard,PARTICIPATE
hallway,COLUMN
have,FACTS
heavy,SHAME
highway,CONFUSION
home,TRAUMA
hospital,CUB
hundred,SWING
id,OBSESSION
independent,FRANKENSTEIN
irregular,MURDERER
jeans,STUDENT
jump,PLUS
killer,DOMINATE
know,QUENCH
late,MARK
learn,WIDTH
lend,STARVING
lid,CASE
live,UNCONSCIOUS
lose,OUTDOORS
luggage,SANDPAPER
maker,ARROW
marry,SOIL
medicine,NYLON
mine,CREATE
mixture,HAVOC
moon,PREMISES
mouse,COLESLAW
music,EXTRA
neck,MASK
never,NOUN
noodles,MORE
nun,SLOPE
offense,ACQUIRE
open,SENATE
owl,WINDOW
pancakes,PERISCOPE
past,SMART
pencil,NUMBER
persuade,CLAIM
pill,OFFENSE
plant,LIGHTNING
point,REPENTANCE
pot,POUR
pride,ASSIGNMENT
promise,POP
purple,TELL
questions,GUYS
raw,DATE
reel,BOUND
repeat,OPENING
right,SKETCH
roof,VILLAGE
rug,HIVE
salt,DEADLY
saw,FIRST
scratch,TOGETHER
seek,LAPEL
sex,CROCHET
she,BANANA
shoes,TAXI
shy,DISREGARD
sister,ASPHALT
sleep,UNSEEN
smell,CONCLUSION
soap,RIGHTEOUS
sorrow,HANDS
speak,BRAT
spoiled,RUG
staff,CROOK
states,LIPS
sting,HINDSIGHT
strange,PLASTER
stripe,JAWS
success,HOOP
supper,DISSIMILAR
sympathy,VILLAIN
tan,CONTEMPORARY
teacher,SALT
ten,BE
there,POCKET
three,ENDING
tile,BASEMENT
tomato,SURVIVE
town,SORRY
trick,SINKER
turn,SCARF
unemployment,SUEDE
values,PERCEPTION
virgin,STEREOTYPE
wall,SECRETARY
way,MEADOW
weird,SPECIAL
whine,COPIER
win,PUBLIC
wonder,IMPATIENCE
worst,HYDROGEN
you,NINE
above,UPSTAIRS
actor,COMEDIAN
again,NEVER
alligator,SWAMP
amount,PRICE
answer,CONCLUDE
area,NEIGHBORHOOD
art,IMPRESSION
attack,SNACK
away,PUT
ball,CATCH
basket,WASTE
beard,SHAVE
beg,STEAL
belt,ASTEROID
bird,EARLY
blow,NOSE
booze,BOTTLE
boyfriend,HANDSOME
breakfast,EGG
bubble,SOAP
business,STATISTICS
calculate,MEASURE
can't,IMPOSSIBLE
carry,TOW
cell,BRAIN
characteristic,QUALITY
child,NEEDY
cigarette,MARIJUANA
cliff,BLUFF
cloudy,CLEAR
collar,NECK
company,PUBLISHER
congress,COMMITTEE
corn,FIELD
crab,SEAFOOD
crime,FRAUD
curtains,BLINDS
dangerous,CRITICAL
decay,DECOMPOSE
dependent,ADDICT
die,GRAVE
dirty,LICE
dive,SWAN
done,ENOUGH
dress,WEAR
dry,THIRSTY
earthquake,EVACUATE
electricity,AMP
encourage,RECOMMEND
environment,POLLUTION
exhale,BREATHE
eyes,WAKE
false,PHONY
feel,STROKE
film,REEL
five,NICKEL
flowers,PLANTS
for,ACCOUNT
found,FIND
fries,STEAK
funny,OUTRAGEOUS
gather,COMPOSE
girlfriend,SWEETHEART
god,POPE
grandma,KNITTING
groceries,STORE
guitar,BASE
hand,FELT
headache,PAIN
help,CURE
hip,THIGH
honest,DISHONEST
hotel,LOUNGE
hunter,PREDATOR
ignore,RESPOND
inferior,INTERIOR
it,FIX
jewish,CHRISTIAN
juvenile,ADOLESCENT
king,CHESS
lace,SHOE
later,IMMEDIATE
leather,BOOTS
length,HEIGHT
lie,BELIEF
load,BURDEN
loser,VICTOR
lunch,PICNIC
male,DOMINANT
massage,THERAPY
meet,GREET
minimum,WAGE
mob,CROWD
more,ANOTHER
mouth,SPIT
mustache,DISGUISE
necklace,JEWELRY
new,MEET
normal,SOBER
nurse,PATIENT
office,OVAL
opening,CAVE
own,KEEP
pants,CUFF
path,WALKWAY
penny,FOUNTAIN
phone,DIME
pilot,AIRCRAFT
plastic,METAL
poison,INTOXICATE
potato,CHIPS
priest,CHAPEL
proof,BULLET
purpose,FUNCTION
quick,INSTANT
reaction,STIMULUS
referee,UMPIRE
reptile,SCALES
rights,EQUAL
room,ISOLATED
rule,CARDINAL
same,DUPLICATE
say,EXPRESS
sea,SAILOR
self,SOLO
sexy,NIGHTGOWN
sheep,RAM
shoot,RANGE
sick,WELL
sit,STOOL
