target,prime
abuse,USE
actress,ACTOR
against,FOR
allow,DISALLOW
amuse,ENTERTAIN
ant,ANTEATER
argue,DEBATE
artist,CON
attempt,TRY
ax,HATCHET
ballet,TUTU
basketball,DUNK
beast,BEAUTY
begin,ORIGINATE
bend,FLEXIBLE
bit,DRILL
blue,SAPPHIRE
bored,BUSY
boys,HARDY
breathe,AIR
bucket,PAIL
busy,OCCUPIED
call,PHONE
capability,ABILITY
cars,PARKWAY
center,MIDDLE
cheap,EXPENSIVE
children,TOYS
circle,DIAMETER
climate,WEATHER
clown,CIRCUS
college,DEGREE
computer,SYSTEM
conservative,LIBERAL
cotton,POLYESTER
crack,CREVICE
criminal,FUGITIVE
cut,BANDAID
daring,ADVENTUROUS
decide,DETERMINE
descend,ASCEND
different,CHANGE
disagree,AGREE
divide,SEPARATE
donkey,ASS
drink,SLURP
duck,QUACK
east,WEST
elephant,TUSK
end,OUTCOME
erupt,VOLCANO
exit,ENTRANCE
face,MASK
family,FRIENDS
feeling,EMOTION
find,DISCOVERY
fix,REPAIR
flute,CLARINET
force,INERTIA
four,THREE
fright,SCARE
furniture,PATIO
geek,NERD
girls,GUYS
gold,NECKLACE
grape,RAISIN
gross,DISGUSTING
gum,BUBBLE
hands,GLOVES
health,MENTAL
helper,ASSISTANT
hit,MISS
honesty,EARNESTNESS
hound,FOX
hurricane,TYPHOON
ill,SICK
inhale,EXHALE
italian,MAFIA
job,TASK
keep,SAVE
kiss,LIPS
ladder,RUNG
laugh,GIGGLE
leave,VACATE
less,MORE
life,DEATH
lobster,CRAB
lost,CONFUSION
machine,COPIER
mall,PLAZA
material,CLOTH
meeting,CONFERENCE
minor,MAJOR
modern,CONTEMPORARY
morning,DEW
move,SHIFT
nail,TACK
need,NECESSARY
news,UPDATE
nose,SNOT
nut,CASHEW
often,FREQUENCY
operation,SURGERY
owner,PROPRIETOR
paper,NEWS
patience,WAIT
people,SOCIETY
piano,KEYBOARD
pimple,ZIT
plate,DISH
poker,CARDS
pound,OUNCE
prince,PRINCESS
property,PREMISES
purse,POCKETBOOK
quiet,SECRETIVE
read,BOOK
refrigerator,MAGNET
republican,DEMOCRAT
ring,DOORBELL
rope,JUMP
ruler,MEASUREMENT
sample,EXAMPLE
scare,THREAT
search,FRISK
sell,BUY
shake,MALT
sheets,LINEN
shop,MALL
sight,PERCEPTION
situation,CIRCUMSTANCE
slip,SLIDE
smoke,CIGAR
socket,EYEBALL
sound,TONE
speech,PRESENTATION
sport,COMPETITION
stain,SPOT
station,SERVICE
stomach,INTESTINE
strap,JOCK
strong,POWERFUL
suffocate,SMOTHER
surgery,OPERATION
syrup,PANCAKES
tantrum,TEMPER
team,COACH
tennis,RACKET
thief,CROOK
throw,TOSS
time,DATE
tongue,LICK
toy,PLAYTHING
trip,JOURNEY
turtle,TORTOISE
unfair,UNJUST
vanish,DISAPPEAR
virtue,PATIENCE
wander,ROAM
weak,VULNERABLE
welcome,THANKS
white,BLEACH
wind,BREEZE
wood,PANEL
wound,HEAL
you,ME
above,POSTAGE
actor,COAST
again,OVERWHELM
alligator,LOST
amount,UNITED
answer,COMMUNIST
area,TENT
art,MOB
attack,LINK
away,LANGUAGE
ball,SURROUNDINGS
basket,TARZAN
beard,DINNER
beg,DISH
belt,DAIRY
bird,LID
blow,GUM
booze,NATURAL
boyfriend,SCENERY
breakfast,RELATIVITY
bubble,SINCE
business,PIECE
calculate,CONSTITUTION
can't,OATH
carry,AGRICULTURE
cell,ISSUE
characteristic,PHRASE
child,PRUNE
cigarette,JUNK
cliff,HAIRSPRAY
cloudy,SPOILED
collar,GOAL
company,PLIERS
congress,PUSH
corn,DEMI
crab,PARKING
crime,INDEPENDENT
curtains,ASH
dangerous,RAG
decay,POLICY
dependent,ROAR
die,JOURNEY
dirty,GYMNASTICS
dive,SELFISH
done,THUNDER
dress,KEEPER
dry,TENSION
earthquake,HARDY
electricity,HELIUM
encourage,SOLUTION
environment,SNAP
exhale,FOR
eyes,MONASTERY
false,RUNG
feel,COMMANDER
film,SLOB
five,TOYS
flowers,BOWLING
for,ESCALATOR
found,PEDAL
fries,CHAIRPERSON
funny,DOOR
gather,ACCOMPLISH
girlfriend,COVER
god,FASCISM
grandma,AMERICAN
groceries,INABILITY
gum,BURST
hands,VEST
health,STREET
helper,AGE
hit,LIST
honesty,DRESSING
hound,WAIST
hurricane,PSYCHOLOGY
ill,NAP
inhale,REPEAT
italian,BAN
job,ATTENTION
keeper,RECKLESS
kitchen,PUNCTUATION
lady,NOVICE
lawn,MARY
ledge,PROOF
let,GANDER
lightning,HURT
log,REAP
lots,DEW
magazine,OODLES
manners,FRIDAY
maybe,DYNAMITE
messy,QUANTITY
minute,CIRCUS
mom,ADVERB
motel,WEDNESDAY
movie,ATHLETIC
name,DISASTER
negative,DUMP
newton,SPRING
note,SLY
obsession,LAMB
okay,BUILDER
order,TRENCH
oyster,BOOK
park,MINE
