target,prime
ability,CAPABILITY
action,REACTION
africa,CONTINENT
alive,DEAD
america,USA
annoying,IRRITATING
apple,PIE
arrogant,COCKY
assume,PRESUME
award,MERIT
bag,SACK
baseball,CATCHER
bean,KIDNEY
beer,MUG
bell,CHIME
billy,IDOL
blonde,BRUNETTE
book,MAGAZINE
boxer,FIGHTER
bread,STALE
brothers,RIGHTEOUS
bump,LUMP
cactus,PRICKLY
candy,CHOCOLATE
carpet,RUG
cautious,CAREFUL
change,ALTER
chicken,ROOST
christmas,REINDEER
cleaner,VACUUM
cloth,RAG
coke,RUM
communist,RUSSIA
confess,ADMIT
copy,IMITATE
cow,BEEF
create,INVENT
cup,SAUCER
dancer,SINGER
deaf,MUTE
deodorant,BAN
diary,JOURNAL
directions,INSTRUCTIONS
dishes,PLATES
dollars,CENTS
draw,SKETCH
drugs,ILLEGAL
early,LATE
elect,VOTE
employer,EMPLOYEE
enough,PLENTY
excuse,PARDON
extrovert,INTROVERT
fake,UNNATURAL
father,MOTHER
fight,CONFLICT
fishing,SINKER
florida,STATE
foot,TOE
fortune,FAME
freedom,LIBERTY
fun,WEEKEND
garden,HOE
gin,TONIC
go,ATTEND
graduation,DIPLOMA
green,BEAN
guilt,SHAME
hamburger,MCDONALD'S
hay,PITCHFORK
hell,HEAVEN
hill,STEEP
homeless,HOPELESS
hostess,HOST
hunger,FAMINE
idea,SUGGESTION
indian,TRIBE
irritating,ANNOYING
jelly,JAR
jump,SKIP
killer,MURDERER
know,INTUITION
last,FIRST
leaf,TREE
lemon,LIME
liberty,STATUE
little,LOTS
loose,TIGHT
luck,CHANCE
make,CREATE
marriage,THRESHOLD
meat,RAW
mind,PSYCHOLOGY
mix,BLEND
monthly,WEEKLY
mountains,SMOKY
muscle,FLEX
neat,ORGANIZE
neutron,ELECTRON
none,ALL
number,DIGIT
off,TURN
onion,LIVER
oven,MICROWAVE
pan,SKILLET
pass,FAIL
pen,QUILL
personality,CHARACTER
pig,SOW
planets,MARS
poetry,PROSE
positive,SURE
preview,SNEAK
prom,TUXEDO
punishment,REPRIMAND
question,GUESS
rattle,SHAKE
reef,CORAL
rent,LEASE
ridiculous,ABSURD
rocks,GRAVEL
rude,INTERRUPT
sale,BARGAIN
save,THRIFT
scissors,SHEARS
see,NOTICE
sew,WEAVE
shave,FOAM
shoelace,LACE
shower,BATHTUB
sink,FLOAT
slave,MASTER
smash,CRUSH
snow,SLEIGH
sorority,FRATERNITY
spanish,HISPANIC
spit,SALIVA
stack,PILE
start,FINISH
stiff,RIGID
stove,APPLIANCE
strict,DISCIPLINE
subtract,ADD
superior,INFERIOR
sword,SABER
talking,SAYING
tea,COFFEE
temperature,CELSIUS
then,SINCE
thousand,HUNDRED
tight,LOOSE
toes,FEET
touch,PAT
tree,PARK
tumble,GYMNASTICS
under,BENEATH
valuable,PRECIOUS
vine,GRAPE
walk,HIKE
watch,OBSERVE
weekend,FRIDAY
when,WHERE
willing,ABLE
woman,MAN
worm,MAGGOT
yell,SCOLD
abandon,PROVISION
act,FRISK
advice,NO
alert,REAPPEAR
ambulance,INTROVERT
annoy,DISAPPEAR
appear,JUGGLER
around,INFECTION
assistant,TEASE
awake,DETAIL
bad,TUMOR
base,VOLCANO
beam,ABLE
beef,GLIDE
believe,VACANCY
bike,ROCK
bleach,EXAMPLE
bone,CONTINENT
box,THIEF
bravery,PEANUT
brother,FINISH
bum,NORMAL
cabinet,DEVELOPMENT
