target,prime
achieve,GOAL
adventure,EXPLORER
alcohol,DRUNK
am,BE
ankle,SPRAIN
apology,SORRY
army,CORPORAL
ass,DONKEY
average,NORM
bacon,EGGS
bargain,SALE
beach,COAST
bee,HIVE
belief,SUPERSTITION
big,HUGE
blanket,QUILT
bomb,EXPLOSION
bow,ARROW
brave,DARING
broken,PROMISE
building,ARCHITECT
cabin,LODGE
cancer,TUMOR
careful,CAUTIOUS
cats,LITTER
chalk,BLACKBOARD
chest,TREASURE
choose,PICK
clay,POTTERY
closed,CAPTION
code,MORSE
comment,REMARK
condom,PROTECTION
cool,REFRESHING
court,CASE
crayon,CRAYOLA
cry,LAUGH
dam,BEAVER
days,GLORY
defense,OFFENSE
devil,DEMON
direct,INDIRECT
disgusting,GROSS
doll,PORCELAIN
down,LAY
drop,DRIP
duty,OBLIGATION
egypt,PYRAMID
emotion,FEELING
english,LANGUAGE
example,SAMPLE
explosion,DYNAMITE
fair,JUST
fast,SPEED
fiction,FACTS
first,ORIGINAL
floor,MOP
follower,LEADER
forgive,REPENTANCE
frankenstein,MONSTER
fudge,TOPPING
gander,GOOSE
ghost,GHOUL
gloves,BOXING
government,OLIGARCHY
great,EXCEPTIONAL
guard,SENTRY
halloween,WITCH
hate,DISLIKE
heaven,ANGEL
higher,LOWER
holy,PIOUS
hose,NYLON
human,BEING
ice,IGLOO
increase,DECREASE
iron,ORE
jane,TARZAN
judge,COURT
kids,CHILDREN
knight,ARMOR
language,SPANISH
layer,OZONE
legend,MYTH
lettuce,SALAD
lion,ROAR
look,GLANCE
loving,CARING
mail,MAILMAN
marker,HIGHLIGHT
mean,HARSH
mile,KILOMETER
mistake,FOLLY
monkey,PRIMATE
motorcycle,HELMET
murder,KILL
navy,ARMY
nervous,ANXIETY
no,REFUSE
novice,BEGINNER
octopus,SQUID
once,TWICE
out,IN
paint,ART
parts,COMPONENTS
peak,SUMMIT
period,PUNCTUATION
pie,PIECE
plane,AIRPORT
plus,MINUS
pool,GENE
president,CANDIDATE
private,PUBLIC
puke,VOMIT
quart,PINT
rare,SCARCITY
record,ALBUM
religion,JEWISH
rich,EXTRAVAGANT
rock,PEBBLE
rough,SANDPAPER
safe,SECURE
sauce,SPAGHETTI
science,CHEMISTRY
secure,INSECURE
service,MEMORIAL
shark,JAWS
shock,TRAUMA
shovel,DIG
simple,PLAIN
skinny,LEAN
small,MICROSCOPE
sneeze,ALLERGY
song,VERSE
spaghetti,PASTA
spinach,POPEYE
square,CIRCLE
star,TWINKLE
stick,DRUM
storm,HURRICANE
strength,WEAKNESS
subject,TOPIC
Sunday,EASTER
sweet,HONEY
take,REMOVE
tax,EXCISE
television,ENTERTAINMENT
thanks,PLEASE
thirsty,PARCHED
tie,BOUND
toast,CINNAMON
top,SURFACE
trash,GARBAGE
try,EFFORT
unclear,FOGGY
usa,COUNTRY
verb,NOUN
wait,HESITATE
washer,MACHINE
wedding,HONEYMOON
wheat,GRAIN
wife,HUSBAND
wire,ELECTRICIAN
workout,GYM
yard,JUNK
zone,TWILIGHT
ache,REFLECTION
adolescent,ADVENTUROUS
airplane,ESSAY
always,POSITIVE
animal,THESAURUS
ape,GLARE
arms,TRACTOR
asleep,LETTUCE
auto,INFERIOR
backward,PARCHED
bar,SWISS
bathroom,LIBERTY
bedroom,FAR
being,TWILIGHT
bicycle,RUNNER
blame,SOW
body,CHEMISTRY
bother,DEAL
branch,SCIENCE
broccoli,METRIC
builder,TOSS
cabbage,OZONE
can,GREEK
care,WET
catholic,NECESSARY
chair,GRAVEL
chemistry,KILL
choice,SLEIGH
class,SELF
close,INFORMATION
cocaine,HIP
comfortable,CONVINCE
concrete,MANY
cook,FOLLY
course,STRIP
crash,MUST
crunchy,FALSE
daily,MUMMY
day,JOBLESS
defeat,BALLET
destruction,GAL
dinosaur,CLOROX
disease,REPUBLIC
dog,SLICK
doughnut,DEVELOP
driving,PICTURE
dust,HEAVEN
eggs,TRICK
emergency,EUROPE
england,SHEEP
exact,TRIP
explode,USE
faint,HINT
fashion,ANGEL
few,GROW
fire,DELIGHT
float,SCULPTURE
folder,SEX
forever,EVEN
france,TYPIST
fruit,EVER
game,POLE
get,AFRICA
glory,BALL
goose,CRESCENT
grave,BENEATH
growth,TUXEDO
halloween,TASK
hate,HIKING
heaven,THRIFT
higher,SENTRY
holy,MAJOR
hose,FATHER
human,SOUND
ice,LAUGH
increase,LOBSTER
iron,BLADE
jane,HUT
juice,HONEYMOON
kill,RAW
knit,AXON
last,TRANSPLANT
leaf,TRUTHFUL
lemon,TOURIST
liberty,FURTHER
little,DISPLAY
loose,ASSOCIATE
luck,POLISH
make,LABYRINTH
marriage,PRISONER
meat,CHIP
mind,VACATE
mix,SKIP
monthly,BATHTUB
mountains,CARPET
muscle,CHEMICAL
neat,CARING
neutron,HIGH
none,CLIMATE
number,SHOWER
off,DEFINITION
