target,prime
abnormal,NORMAL
active,HYPER
after,BEFORE
all,MOST
american,FLAG
annually,YEARLY
april,MARCH
arrow,BOW
atom,NEUTRON
aware,UNAWARE
bake,BROIL
basic,INSTINCT
bear,CUB
before,AFTER
below,ABOVE
biology,SCIENCE
blood,CUT
boots,HIKING
boy,GIRL
break,SHATTER
brush,BRISTLE
bush,SHRUB
cake,FROSTING
cans,RECYCLE
carrot,CELERY
cave,CAVERN
chaos,HAVOC
chief,COMMANDER
church,TEMPLE
clear,VIVID
clothes,ATTIRE
cold,COUGH
compact,DISC
confusion,CHAOS
coral,REEF
cowboy,COWGIRL
creator,INVENTOR
cure,ANTIDOTE
danger,CAUTION
death,BURIAL
dependable,RELIABLE
dictionary,DEFINE
dirt,SOIL
ditch,GULLY
dolphin,FLIPPER
dream,SLEEP
drunk,INTOXICATED
earth,WORLD
electric,SHOCK
empty,VACANCY
enter,EXIT
exercise,STRETCH
eye,SQUINT
fall,DROP
fear,TERROR
fighter,WARRIOR
fist,FIGHT
flower,TULIP
football,ARENA
forward,ADVANCE
friend,TRUSTWORTHY
fungus,BACTERIA
gas,FUEL
girl,GAL
goal,AMBITION
grand,CANYON
grill,CHARCOAL
guilty,INNOCENCE
hammer,TOOLS
head,HAT
hello,GOODBYE
hint,SUBTLE
homework,ASSIGNMENT
hot,FIRE
hungry,STARVING
idiot,MORON
indoors,OUTDOORS
island,PARADISE
jesus,CHRIST
jungle,SAFARI
kind,TYPE
knowledge,EXPERIENCE
late,TARDY
learn,TEACH
lend,BORROW
lid,COVER
live,SURVIVE
lose,WIN
luggage,BAGGAGE
maker,MANUFACTURER
marry,SINGLE
medicine,OINTMENT
mine,OWN
mixture,COMBINATION
moon,CRESCENT
mouse,SQUEAK
music,TUNE
neck,SCARF
never,EVER
noodles,OODLES
nun,CONVENT
offense,DEFENSE
open,DOOR
owl,HOOT
pancakes,SYRUP
past,BACKGROUND
pencil,PEN
persuade,CONVINCE
pill,TABLET
plant,SEED
point,SHARP
pot,PAN
pride,DIGNITY
promise,OATH
purple,VIOLET
questions,SURVEY
raw,UNCOOKED
reel,ROD
repeat,AGAIN
right,LEFT
roof,SHINGLE
rug,CARPET
salt,SEASONING
saw,CHAIN
scratch,ITCH
seek,HIDE
sex,REPRODUCE
she,HE
shoes,SOCKS
shy,BASHFUL
sister,TWIN
sleep,NAP
smell,STENCH
soap,ZEST
sorrow,SYMPATHY
speak,TALK
spoiled,BRAT
staff,FACULTY
state,GOVERNOR
still,MOTIONLESS
straight,CURVE
string,GUITAR
succeed,EXCEL
superman,HERO
sympathetic,APATHETIC
tall,GROW
