target,prime
accept,REJECT
add,SUM
age,YEARS
alone,LONELY
angel,SAINT
anxiety,STRESS
argument,DISAGREEMENT
ashtray,ASH
attic,BASEMENT
baby,CHILD
balloon,HELIUM
bass,TREBLE
beat,RHYTHM
beginner,NOVICE
best,FAVORITE
bitch,SNOB
blush,EMBARRASS
boring,MONOTONOUS
bra,UNDERWEAR
brick,BLOCK
buffalo,BISON
butter,PEANUT
calm,SOOTHE
car,VALVE
cash,MONEY
cereal,FIBER
cheat,AFFAIR
china,JAPAN
circus,JUGGLER
climb,STAIRS
club,MEMBER
cologne,MUSK
con,PRO
construction,BUILDER
couch,CUSHION
cracker,SALTINE
crooked,UNEVEN
cute,ADORABLE
dark,TAN
decision,CHOICE
desert,MIRAGE
dill,PICKLES
disagreement,AGREEMENT
do,MAKE
don't,DO
drip,LEAK
dull,BORING
easy,SIMPLE
elevator,ESCALATOR
ending,CONCLUSION
even,LEVEL
expensive,VALUABLE
fad,TREND
fantasy,REALITY
feet,HANDS
finger,HAND
flag,AMERICAN
fly,AIRPLANE
foreign,LEGION
fox,SLY
frightened,SCARED
future,DESTINY
general,SPECIFIC
give,GENEROUS
gone,GOING
graph,CHART
ground,HOLE
gun,VIOLENCE
happy,DELIGHT
healthy,FITNESS
her,HIM
hitchhike,HIKER
honor,PRESTIGE
hours,MINUTES
hurry,RUSH
illegal,LEGAL
innocent,GUILTY
itch,RASH
jogger,RUNNER
keeper,GROUNDS
kitchen,CABINET
lady,GENTLEMAN
law,RIGHTS
leaves,RAKE
lesson,DIMINISH
light,DIM
lock,KEY
lot,PARKING
mad,PISSED
man,MISTER
math,CALCULATOR
men,WOMEN
minus,PLUS
mold,SHAPE
most,LEAST
movement,MOTION
naked,STRIP
needle,INJECTION
newspaper,COLUMN
not,MAYBE
object,THING
oil,GREASE
orange,TANGERINE
oxygen,HYDROGEN
parent,GUARDIAN
patient,IMPATIENCE
pepper,SALT
pick,CHOOSE
pizza,PEPPERONI
play,ACT
police,SQUAD
power,CONTROL
princess,PRINCE
protect,DEFEND
push,SHOVE
rabbit,CARROT
ready,PREPARE
refuse,DENIAL
restaurant,HOSTESS
rip,TEAR
rose,FLOWER
rules,RESTRICTION
sand,CASTLE
scared,FEAR
seatbelt,FASTEN
seller,BUYER
shallow,DEEP
shell,SEASHORE
shopping,SPREE
sign,BILLBOARD
six,FIVE
slippery,SLICK
smooth,ROUGH
soda,POP
soup,CHICKEN
speed,ACCELERATE
sports,ATHLETIC
stair,STEP
stay,REMAIN
stone,ROCK
straw,HUT
student,GRADUATE
sugar,CANE
swallow,GULP
system,METRIC
tape,SCOTCH
tear,RIP
tense,UPTIGHT
thin,THICK
thumb,HITCHHIKE
tire,FLAT
tonic,GIN
trade,SWAP
trophy,AWARD
twelve,DOZEN
unknown,KNOWN
vault,POLE
vision,BLUR
want,DESIRE
wear,CLOTHES
west,EAST
who,WHOM
window,GLASS
wool,SHEEP
write,ESSAY
young,YOUTH
abuse,DISGUSTING
actress,FOUR
against,BLOCK
allow,ARMY
amuse,MUG
ant,MOTIONLESS
argue,TREASURE
artist,STAIN
attempt,OUTLET
ax,ADMISSION
ballet,RELATIVE
basketball,TUESDAY
beast,SOCK
begin,VIVID
bend,TOPPING
bit,DISAGREEMENT
blue,SNUGGLE
bored,REJECT
boys,SWAP
breathe,LOW
bucket,PEBBLE
busy,HURRICANE
call,RADISH
capability,SHOCK
cars,MICROWAVE
center,SLURP
cheap,PREPARE
children,SPRAY
circle,SILK
climate,CONSTRUCTION
clown,MEDICAL
college,EMPLOYEE
computer,SUNNY
conservative,RIGHTEOUSNESS
cotton,FAVORITE
crack,TWIG
criminal,TUPPERWARE
cut,VIOLA
daring,PUBERTY
decide,SAUCER
descend,EGGS
different,HUE
disagree,MAILMAN
divide,INDOORS
donkey,SKILLER
drink,GHETTO
duck,GIRLFRIEND
east,EXACT
elephant,CARROT
end,GENTLEMAN
erupt,CAPACITY
exit,VACUUM
face,REPRODUCE
family,CABIN
feeling,MEANINGFUL
find,SUCCESS
fix,EXCEL
flute,TALL
force,INTUITION
four,CAMPING
fright,POLYESTER
furniture,PIMPLE
geek,CITIZEN
girls,REPRIMAND
gold,UNAWARE
grape,COMMON
gross,WORLD
gun,MORSE
happy,PLANNING
healthy,ROAM
her,HANDLE
hitchhike,DISCOVERY
honor,FLAG
hours,KNEEL
hurry,CUSHION
illegal,HAT
innocent,BOYFRIEND
itch,FRUSTRATE
jogger,PASS
ketchup,WARMTH
klutz,CINNAMON
lake,MALL
lawsuit,STOCK
left,SEPARATE
letter,CRAZY
like,SPRAIN
lonely,MINUTES
loud,TEACH
magic,PROMISE
